language	articles	relatives	have_perfect	participial_passive	dative_external_poss	negation	equative	subject_agreement	intens_refl
Albanian_Gheg	1	1	1	1	1	1	1	0	1
Albanian_Tosk	1	1	1	1	1	1	1	0	1
Ancient_Greek	0	1	0	0	1	1	1	0	1
Armenian	0	1	0	0	0	0	1	0	0
Assamese	0	1	0	0	0	0	0	1	0
Baluchi	0	0	0	1	0	0	0	0	0
Bengali	0	1	0	0	0	0	0	1	0
Maithili	0	1	0	1	0	0	0	0	0
Breton	1	0	0	1	0	0	0	0	0
Bulgarian	0	1	0	1	1	0	1	0	1
Byelorussian	0	1	0	1	1	0	1	0	1
Catalan	1	1	1	1	1	1	1	0	1
Cornish	0	0	0	1	0	0	0	0	0
Czech	0	1	1	1	1	0	1	0	1
Danish	1	0	1	1	0	1	0	0	1
Dutch	1	1	1	1	1	1	1	1	0
English	1	1	1	1	0	1	1	1	0
Faroese	1	0	1	1	0	1	0	1	1
Flemish	1	1	1	1	1	1	1	1	0
French	1	1	1	1	1	1	1	1	1
Frisian	1	1	1	1	1	0	0	1	1
Friulian	1	1	1	1	1	0	1	0	1
German	1	1	1	1	1	1	1	1	1
Gothic	0	1	0	0	1	0	0	1	0
Modern_Greek	1	1	1	1	1	0	1	0	1
Gujarati	0	0	0	1	0	0	1	0	0
Hindi	0	0	0	1	0	0	0	1	0
Hittite	0	0	1	0	1	0	0	0	1
Icelandic	0	1	1	1	0	1	0	1	1
Irish_A	0	0	0	1	0	0	0	0	0
Iron_Ossetic	0	1	0	1	0	1	0	1	0
Italian	1	1	1	1	1	1	1	0	1
Kashmiri	0	1	0	0	0	1	1	0	0
Kurdish	0	0	0	0	0	1	0	0	0
Ladin	1	1	1	1	1	0	1	0	1
Latin	0	1	0	0	1	1	1	0	1
Latvian	0	1	0	1	1	0	1	0	1
Lithuanian	0	1	0	1	1	0	1	0	1
Lower_Sorbian	0	1	0	1	1	0	1	0	1
Luxemburgish	1	1	1	1	1	1	1	1	1
Macedonian	1	1	1	1	1	0	1	0	1
Marathi	0	0	0	1	0	1	1	0	0
Marwari	0	0	0	1	0	1	0	1	0
Nepali	0	0	0	0	0	0	0	0	0
Norwegian	1	1	1	1	0	1	0	0	1
Old_Church_Slavonic	0	1	0	0	0	0	1	0	1
Old_English	0	1	1	1	1	0	1	1	1
Old_Norse	0	0	1	0	0	1	0	0	1
Old_Prussian	0	0	0	0	0	0	0	1	1
Oriya	0	1	0	1	0	0	0	0	0
Pashto	0	0	0	0	0	0	0	0	0
Persian	0	0	0	1	0	0	0	0	0
Polish	0	1	0	1	1	0	1	0	1
Portuguese	1	1	1	1	1	1	1	0	1
Romanian	1	1	1	1	1	0	1	0	1
Russian	0	1	0	1	1	0	1	1	1
Sardinian_Campidanese	1	1	1	1	1	1	1	0	1
Sardinian_Logudorese	1	1	1	1	1	1	1	0	1
Scots_Gaelic	0	0	0	1	0	0	0	0	0
Serbocroatian	0	1	0	1	1	0	1	0	1
Sindhi	0	0	0	0	0	0	0	0	0
Sinhalese	0	0	0	0	0	0	0	0	0
Slovak	0	1	0	1	1	0	1	0	1
Slovenian	0	1	0	1	1	0	1	0	1
Spanish	1	1	1	1	1	1	1	0	1
Swedish	1	1	1	1	0	1	0	0	1
Tajik	0	0	0	1	0	0	0	0	0
Tocharian_A	0	1	0	0	1	0	1	0	1
Tocharian_B	0	1	0	0	1	0	1	0	1
Ukrainian	0	1	0	1	1	0	1	0	1
Upper_Sorbian	0	1	0	1	1	0	1	0	1
Urdu	0	0	0	1	0	1	0	0	1
Vedic_Sanskrit	0	1	0	0	1	1	0	0	1
Vlach	0	1	0	1	0	0	1	0	1
Wakhi	0	0	0	0	0	0	0	0	0
Walloon	1	1	1	1	1	1	1	1	1
Waziri	0	0	0	0	0	0	0	0	0
Welsh_N	0	0	0	0	0	0	0	0	0
