language	distinct
Albanian_Gheg	0
Albanian_Tosk	0
Ancient_Greek	0
Armenian	0
Assamese	1
Baluchi	0
Bengali	1
Maithili	0
Breton	0
Bulgarian	0
Byelorussian	0
Catalan	0
Cornish	0
Czech	0
Danish	1
Iron_Ossetic	0
Dutch	0
English	0
Faroese	0
Flemish	0
French	0
Frisian	0
Friulian	0
German	0
Gothic	0
Modern_Greek	0
Gujarati	1
Hindi	1
Hittite	0
Icelandic	1
Irish_A	0
Italian	1
Kashmiri	0
Kurdish	0
Ladin	0
Latin	0
Latvian	1
Lithuanian	1
Lower_Sorbian	0
Luxemburgish	0
Macedonian	0
Marathi	1
Marwari	0
Nepali	1
Norwegian	0
Old_Church_Slavonic	0
Old_English	0
Old_Norse	0
Old_Prussian	0
Oriya	1
Pashto	0
Persian	0
Polish	1
Portuguese	1
Romanian	1
Russian	0
Sardinian_Campidanese	0
Sardinian_Logudorese	0
Scots_Gaelic	0
Serbocroatian	0
Sindhi	0
Sinhalese	1
Slovak	0
Slovenian	0
Spanish	1
Swedish	0
Tajik	0
Tocharian_A	0
Tocharian_B	0
Ukrainian	0
Upper_Sorbian	0
Urdu	1
Vedic_Sanskrit	0
Wakhi	0
Walloon	0
Waziri	0
Welsh_N	0
