language	iso_code	2sg	2sgmascform	2sgfemform	2sgmidform	2sgsuperform	2plmasc	2plfem	2plmascform	2plfemform	2plmidform	2plsuperform	3sgmasc	3sgfem	3plmasc	3plfem
Albanian_Gheg	aee	ti	ti	ti	ti	ti	ti	ti	ti	ti	ti	ti	ai	ai'o	a'ta	a'ta
Albanian_Tosk	als	ti	ti	ti	ti	ti	ju	ju	ju	ju	ju	ju	-	-	-	-
Ancient_Greek	grc	sú	sú	sú	sú	sú	humeîs	humeîs	humeîs	humeîs	humeîs	humeîs	autoû	autês	autôn	autôn
Armenian	hye	du	du	du	du	du	dukʰ	dukʰ	dukʰ	dukʰ	dukʰ	dukʰ	na	na	nran-kʰ	nran-kʰ
Assamese	asm	tɔi	apuni	apuni	tumi	apuni	tɔ-hɔ˜t	tɔ-hɔ˜t	apona-lok, apona-xɔkɔl	apona-lok, apona-xɔkɔl	toma-lok	apona-lok, apona-xɔkɔl	xi	tai	xi-hɔ˜t	xi-hɔ˜t
Baluchi	bgp	taw, to̅	taw, to̅	taw, to̅	taw, to̅	taw, to̅	šumɑ̅	šumɑ̅	šumɑ̅	šumɑ̅	šumɑ̅	šumɑ̅	-	-	-	-
Bengali	ben	tui	āpni	āpni	tumi	āpni	torā	torā	āpnārā	āpnārā	tomrā	āpnārā	še	še	tahara, tara	tahara, tara
Maithili	mai	tẽ	rauā	rauā	tu	apne kā	tohani kā	tohani kā	tohani kā	tohani kā	tohani kā	tohani kā	u	u	okani kā	okani kā
Breton	bre	te	te	te	te	te	c'hwi	c'hwi	c'hwi	c'hwi	c'hwi	c'hwi	en	hi	int	int
Bulgarian	bul	ti'	vi'e, ti'	vi'e, ti'	vi'e, ti'	vi'e, ti'	vi'e, vi'j	vi'e, vi'j	vi'e, vi'j	vi'e, vi'j	vi'e, vi'j	vi'e, vi'j	to'j	tja'	te'	te'
Byelorussian	bel	ty	ty	ty 	ty 	ty 	vy	vy	vy	vy	vy	vy	ën	jana̍	jany̍	jany̍
Catalan	cat	tu	vós, vostè	vós, vostè	vós, vostè	vós, vostè	vosaltres, vostès	vosaltres, vostès	vosaltres, vostès	vosaltres, vostès	vosaltres, vostès	vosaltres, vostès	ell	ella	ells	elles
Cornish	cor	tî, te	tî, te	tî, te	tî, te	tî, te	huei, why	huei, why	huei, why	huei, why	huei, why	huei, why	ev, eve	hei	an dzhei	an dzhei
Czech	ces	ty	Vy	Vy	Vy	Vy	vy	vy	vy	vy	vy	vy	on	ona	oni	ona
Danish	dan	du	de	de	de	de	i	i	de 	de 	de 	de 	han	hun	de	de
Iron_Ossetic	æz	dɨ	dɨ	dɨ	dɨ	dɨ	sɨmɑχ	sɨmɑχ	sɨmɑχ	sɨmɑχ	sɨmɑχ	sɨmɑχ	wɨj	wɨj	wɨdon	wɨdon
Dutch	nld	jij	u	u	u	u	jullie	jullie	jullie	jullie	jullie	jullie	hij	zij	zij	zij
English	eng	you	you	you	you	you	you	you	you	you	you	you	he	she	they	they
Faroese	fao	tú	tygum	tygum	tygum	tygum	tit	tit	tit	tit	tit	tit	hann	hon	teir	tær
Flemish	vls	gie	gie	gie	gie	gie	gunder	gunder	gunder	gunder	gunder	gunder		zie	zunder	zunder
French	fra	tu	vous	vous	vous	vous	vous	vous	vous	vous	vous	vous	il	elle	ils	elles
Frisian	frs	do	jo	jo	jo	jo	jimme	jimme	jimme	jimme	jimme	jimme	hy	hja, sy	hja, sy	hja, sy
Friulian	fur	tu	Lui, vô; Jê	Lui, vô; Jê	tu	Lui, vô; Jê	vô, voaltris; o	vô, voaltris; o	vô, voaltris; o	vô, voaltris; o	vô, voaltris; o	vô, voaltris; o	lui; al	jê; e	lôr; a	lôr; a
German	deu	du	Sie	Sie	Sie	Sie	ihr	ihr	ihr	ihr	ihr	ihr	er	sie	sie	sie
Gothic	got	þu	þu	þu	þu	þu	jus	jus	jus	jus	jus	jus	is	si	eis	ija
Modern_Greek	ell	esi	esi	esi	esi	esi	esis	esis	esis	esis	esis	esis	aftos	afti	afti	aftes
Gujarati	guj	tũ	təm-e	təm-e	tũ	ɑp			təm-e	təm-e		ɑp	te, e	te, e	te(o	te(o
Hindi	hin	tū	āp	āp	tū	āp	tum	tum	āp	āp	tum	āp	-	-	-	-
Hittite	hit	zig	zig	zig	zig	zig	sumes	sumes	sumes	sumes	sumes	sumes	ɑpɑ-	ɑpɑ-	ɑpɑ-	ɑpɑ-
Icelandic	isl	þú	þer	þer	þú	þer	þið	þið	þer	þer		þer	hann	hún	þeir	þœr
Irish_A	gle	tú	tú	tú	tú	tú	sibh	sibh	sibh	sibh	sibh	sibh	sé, é	sí, í	siad, iad	siad, iad
Italian	ita	tu	Lei	Lei	Lei	Lei	voi	voi	Loro	Loro	Loro	Loro	lui	lei	loro	loro
Kashmiri	kas	tsı̵	toh', yimɨ, humɨ, timɨ	toh', yimɨ, humɨ, timɨ	tsı̵	toh', yimɨ, humɨ, timɨ	toh'	toh'	toh'	toh'	toh'	toh'	-	-	-	-
Kurdish	kmr	tō	tō	tō	tō	tō	ēwa	ēwa	ēwa	ēwa	ēwa	ēwa	ɑw	ɑw	ɑw-ɑ̅n	ɑw-ɑ̅n
Ladin	lld	tu	tu	tu	tu	tu	vo(etres)	vo(etres)	vo(etres)	vo(etres)	vo(etres)	vo(etres)	ɛl	ɛla	idz	eles
Latin	lat	tū	tū	tū	tū	tū	vōs	vōs	vōs	vōs	vōs	vōs	-	-	-	-
Latvian	lav	tu	jūs	jūs	tu	jūs	jūs	jūs	Jūs	Jūs	Jūs	Jūs	viņš	viņa	viņi	viņas
Lithuanian	lit	tù	Jū˜s, támsta	Jū˜s, támsta	Jū˜s, támsta	Jū˜s, támsta	jū˜s	jū˜s	tamstos	tamstos	tamstos	tamstos	jìs	jì	jiẽ	jõs
Lower_Sorbian	dsb	ty	wy	wy	wy	wy	wy	wy	wy	wy	wy	wy	won	wona	woni	woni
Luxemburgish	ltz	du	dir	dir	du	dir	dir 	dir 	dir 	dir 	dir 	dir 	hie, he	si	si, se	si, se
Macedonian	mkd	ti	vie	vie	ti 	vie	vie	vie	vie	vie	vie	vie	toj	taa	tie	tie
Marathi	mar	tū	āpaɳ, tumhī	āpaɳ, tumhī	tū	āpaɳ, tumhī	tumhī	tumhī	āpaɳ	āpaɳ	tumhī	āpaɳ	-	-	-	-
Marwari	rwr	tũ	tũ	tũ	tũ	tũ	the	the	the	the	the	the	-	-	-	-
Nepali	nep	tə˜, tã	tapai, həjur, tapāĩ), yəhã, vəhã	tapai, həjur, tapāĩ), yəhã, vəhã	timi, timĩ	tapai, həjur, tapāĩ), yəhã, vəhã	tə˜-haru, timĩ, timĩharũ	tə˜-haru, timĩ, timĩharũ	tapaĩhəru	tapaĩhəru	timi-haru, timĩ, timĩharũ	tapaĩhəru, tapãĩharũ	u, yo 	u, yo	unihəru, tinihəru, yinĩharũ, tinĩharũ, unĩharũ	unihəru, tinihəru, yinĩharũ, tinĩharũ, unĩharũ
Norwegian	nob	du	de	de	de	de	dere	dere	dere	dere	dere	dere	han 	hun	de	de
Old_Church_Slavonic	chu	tę	tę	tę	tę	tę	vy	vy	vy	vy	vy	vy	-	-	-	-
Old_English	ang	ðū	ðū	ðū	ðū	ðū	gē	gē	gē	gē	gē	gē	hē	hēo, hīe	hēo, hīe	hēo, hīe
Old_Norse	non	þú	þú	þú	þú	þú	ér, þér	ér, þér	ér, þér	ér, þér	ér, þér	ér, þér	hann	hom, hón, hun	þeir, þer	þǽr, þer
Old_Prussian	prg	tū	tū	tū	tū	tū	jūs	jūs	jūs	jūs	jūs	jūs	tan[a]s	tanā	tanai	tanai
Oriya	ori	tu	apɔɳɔ	apɔɳɔ	tume	apɔɳɔ	tumemane	tumemane	apɔɳɔmane, amesɔbu	apɔɳɔmane, amesɔbu	tumemane, tumesɔbu	apɔɳɔmane, amesɔbu	se	se	semane	semane
Pashto	prs	tu	tu	tu	tu	tu	shumā, shumāhā, shumāyān	shumā, shumāhā, shumāyān	shumā, shumāhā, shumāyān	shumā, shumāhā, shumāyān	shumā, shumāhā, shumāyān	shumā, shumāhā, shumāyān	vay	vay	īshan, ūshān, īshānān 	īshan, ūshān, īshānān 
Persian	pes	to, tu	šomɑ̅, šumo, u, ū	šomɑ̅, šumo, u, ū	šomɑ̅, šumo	šomɑ̅, šumo, u, ū, vey	šomɑ̅, šumo	šomɑ̅, šumo	šomɑ̅, šumo	šomɑ̅, šumo	šomɑ̅, šumo	šomɑ̅, šumo	u, ū	u, ū	išɑ̅n, ešon	išɑ̅n, ešon
Polish	pol	ty	pan	pani	ty	pan, pani	wy	wy	panowie	panie		panowie, panie	on	ona	oni	one
Portuguese	por	tu	você, o senhor	você, a senhora	você, o senhor, a senhora	você, o senhor, a senhora	vós	vós	vocês, os senhores	vocês, as senhoras	vocês, os senhores, as senhoras	vocês, os senhores, as senhoras	ele	ela	eles	elas
Romanian	ron	tu	dumneavoastră	dumneavoastră	dumneata	dumneavoastră	voi	voi	dumneavoastră	dumneavoastră	voi	dumneavoastră	el	ea	ei	ele
Russian	rus	ty̍	vy	vy	ty̍	vy	vy	vy	vy	vy	vy	vy	o̍n	ona̍	oni̍	oni̍
Sardinian_Campidanese	sro	túi	fusté(i), fustétti, sa mertséi, srammatséi, íssa/u	fusté(i), fustétti, sa mertséi, srammatséi, íssa/u	túi	fusté(i), fustétti, sa mertséi, srammatséi, íssa/u	bozátruzu	bozátruzu	bozátruzu	bozátruzu	bozátruzu	bozátruzu	íssu 	íssu 	íssuzu	íssuzu
Sardinian_Logudorese	src	túe	bóis, b/fostȩ́	bóis, b/fostȩ́	túe	bóis, b/fostȩ́	bóizi	bóizi	bóizi	bóizi	bóizi	bóizi	ísse/u	ísse/u	íssǫzo	íssǫzo
Scots_Gaelic	gla	t(h)ù, t(h)u	t(h)ù, t(h)u	t(h)ù, t(h)u	t(h)ù, t(h)u	t(h)ù, t(h)u	sibh	sibh	sibh	sibh	sibh	sibh	è, e	ì, i	iad	iad
Serbocroatian	bos	tî	vî	vî	tî	vî	vî	vî	vî	vî	vî	vî	ôn	òna	òni	òne
Sindhi	snd	tũ	tũ	tũ	tũ	tũ	tavhĩ, tavĩ, tahĩ, taĩ, avhĩ, avĩ, ahĩ, ãĩ	tavhĩ, tavĩ, tahĩ, taĩ, avhĩ, avĩ, ahĩ, ãĩ	tavhĩ, tavĩ, tahĩ, taĩ, avhĩ, avĩ, ahĩ, ãĩ	tavhĩ, tavĩ, tahĩ, taĩ, avhĩ, avĩ, ahĩ, ãĩ	tavhĩ, tavĩ, tahĩ, taĩ, avhĩ, avĩ, ahĩ, ãĩ	tavhĩ, tavĩ, tahĩ, taĩ, avhĩ, avĩ, ahĩ, ãĩ	hī, hē, hīu, hiu	hī, hē, hīa, hia		
Sinhalese	sin	umbə, too, oyaa	obəwahanse, tamunnaanse, obətumaa	obəwahanse, tamunnaanse, obətumaa	oyaa, ohee, tamuse	obəwahanse, tamunnaanse, obətumaa	topi	topi	obəwahansela, tamunnaansela, obətumaala	obəwahansela, tamunnaansela, obətumaala	oyaala, oheela, tamusela	obəwahansela, tamunnaansela, obətumaala	eyaa	eyaa	eyaala	eyaala
Slovak	slk	ty	vy	vy	vy	vy	vy	vy	vy	vy	vy	vy	on	ona	oni	ony
Slovenian	slv	tı̑	vı̑	vı̑	tı̑	vı̑	vı̑	vȇ	vı̑, vȇ	vı̑, vȇ	vı̑, vȇ	vı̑, vȇ	ȍn	óna	óni	óne
Spanish	spa	tú	usted	usted	usted	usted	vosotros	vosotras	ustedes	ustedes	ustedes	ustedes	él	ella	ellos	ellas
Swedish	swe	du	ni	ni	ni	ni	ni	ni	ni	ni	ni	ni	han	hon	de	de
Tajik	tgk	to, tu	šomɑ̅, šumo, on-ho	šomɑ̅, šumo, on-ho	to, tu	šomɑ̅, šumo, on-ho	šomɑ̅-ha, šumo-ho, šumo-yon 	šomɑ̅-ha, šumo-ho, šumo-yon 	šomɑ̅, šumo	šomɑ̅-ha, šumo-ho, šumo-yon 	šomɑ̅, šumo	šomɑ̅-ha, šumo-ho, šumo-yon 	u, ū, vay	u, ū, vay	išɑ̅n, ešon, vay-o	išɑ̅n, ešon, vay-o
Tocharian_A	xto	tu	tu	tu	tu	tu	yas	yas	yas	yas	yas	yas	säm	sām	ce(m	tom, toṣ
Tocharian_B	txb	t(u)we	t(u)we	t(u)we	t(u)we	t(u)we	yes	yes	yes	yes	yes	yes	säm	sām	cey, cai	tom̢, toy
Ukrainian	ukr	ty	Vy	Vy	ty	Vy	vy	vy	vy	vy	vy	vy	vin	vona̍	voný	voný
Upper_Sorbian	hsb	ty	wy	wy	wy	wy	wy	wy	wy	wy	wy	wy	wón	wona	woni	wone
Urdu	urd	tū	āp	āp	tum	āp	tum	tum	āp	āp	tum	āp	vo, ye	vo, ye	vo, ye	vo, ye
Vedic_Sanskrit	san	tvám	tvám	tvám	tvám	tvám	yūyám	yūyám	yūyám	yūyám	yūyám	yūyám	sás	sā'	té	tā's
Wakhi	wbl	tu	tu	tu	tu	tu	sašt	sašt	sašt	sašt	sašt	sašt	-	-	-	-
Walloon	wln	ti	vos	vos	vos	vos	vos	vos	vos	vos	vos	vos	i	ele	i, is	ele, eles
Waziri	pst	de, dər, tə	de, dər, tə	de, dər, tə	de, dər, tə	de, dər, tə	mo/ɑm, dər, tâse	mo/ɑm, dər, tâse	mo/ɑm, dər, tâse	mo/ɑm, dər, tâse	mo/ɑm, dər, tâse	mo/ɑm, dər, tâse	ye, wər	ye, wər	ye, wər	ye, wər
Welsh_N	cym	ti, di	ti, di	ti, di	ti, di	ti, di	chwi	chwi	chwi	chwi	chwi	chwi	ef	hi	hwy	hwy
